Id,Site,NHX,NHX_std,NOY,NOY_std,SOX,SOX_std
1,Korup,537.31,220.88,451.96,232.43,171.48,417.9
2,Ituri,479.08,128.08,455.5,210.29,138.63,347.93
3,Rabi,202.22,543.3,314,376.05,105.37,313.01
4,Mpala,385.3,394.27,155.63,348.65,83.98,492.47
5,Wanang,111.86,499.76,58.49,340.04,785.59,877.94
6,Kuala Belalong,190.53,385.27,180.66,297.66,178.3,194.59
7,Dinghushan,2162.3,241.64,667.27,164.03,1853.52,291.37
8,Heishiding,2245.62,236.65,627,153.11,1601.77,283.95
9,Hong Kong,1178.86,442.55,654.93,240.76,1785.18,392.45
10,Jianfengling,793.93,634.84,354.86,230.59,713.94,407.41
11,Nonggang,1999.24,308.63,446.06,208.22,805.23,296.41
12,Xishuangbanna,1261.57,297.52,390.37,196.42,425.5,289.46
13,Mudumalai,953.97,217.39,384.29,252.17,788.53,448.26
14,Danum Valley,126.99,217.24,141.1,298.17,170.9,233.45
15,Lambir,158.33,186,182.55,297.3,182.51,229.82
16,Pasoh,405.31,495.76,315.2,224.31,411.76,396.66
17,Palanan,304.13,386.37,149.8,223.58,347.09,242.05
18,Bukit Timah,253.37,225.56,321.38,267.03,487.76,502.89
19,Sinharaja,473.93,658.68,199.26,280.53,360.67,490.82
20,Fushan,536.77,374.57,520.42,439.96,1471.68,580.15
21,Kenting,339.35,496.41,352.08,268.69,809.86,325.7
22,Lienhuachih,922.66,1031.01,486.43,263.33,1210.3,276.82
23,Nanjenshan,633.33,712.96,436.21,294.94,1069.44,288.96
24,Zenlun,922.66,1031.01,486.43,263.33,1210.3,276.82
25,Doi Inthanon,917.02,211.23,462.54,225.58,356.17,195.28
26,Huai Kha Khaeng,649.18,256.5,454.42,205.04,432.99,250.88
27,Khao Chong,278.09,300.07,233.13,194.98,268.9,271.94
28,Mo Singto,631.6,245.48,489.47,272.1,541.23,328.21
29,Haliburton Forest,312.89,308.51,513.62,270.25,872.76,388.98
30,Scotty Creek,22.1,349.61,30.34,28.55,741.24,27.02
31,Harvard Forest,272.91,448.58,938.9,263.76,1163.25,294.12
32,Lilly Dickey Woods,585.61,218.38,987.54,156.75,1731.4,316.79
33,Santa Cruz,133.42,434.69,269.11,505.98,150.34,473.43
34,SCBI,383.86,251.62,994.08,183.2,1604.67,284.93
35,SERC,324.76,335.76,1068.09,262.25,1507.05,280.14
36,Tyson Research Center,645.65,163.24,836.66,176.75,1363.15,292.47
37,Wabikon Lake Forest,338.25,364.78,398.47,232.8,592.38,322.66
38,Wind River,193.96,429.56,184.11,318.78,205,603.27
39,Yosemite National Park,95.89,386.61,264.49,218.48,143.26,438.34
40,Ilha do Cardoso,439.66,242.88,287.25,392.88,258.57,489.81
41,Manaus,215.8,204.7,241.61,278.07,105.28,365.24
42,Amacayacu,104.28,287.03,199.85,300.21,89.9,526.2
43,La Planada,347.07,215.25,203.62,243.47,486.58,556.7
44,Yasuni,276.91,266.29,192.68,250.97,296.57,1097.69
45,Barro Colorado Island,200.14,166.47,197.81,210.13,232.18,339.34
46,Cocoli,222.92,189.5,205.72,206.72,248.49,344.28
47,San Lorenzo/ Sherman,200.14,166.47,197.81,210.13,232.18,339.34
48,Luquillo,68.39,222.52,91.55,187.57,128.62,272.37
49,Laupahoehoe ,37.14,237.98,42.23,262.76,123.5,1735.67
50,Palamanui,37.14,237.98,42.23,262.76,123.5,1735.67
51,Badagongshan,3046.57,207.92,733.81,134.29,2341.7,296.98
52,Baotianman,1841.36,294.75,834.86,161.12,2831.88,329.12
53,Changbaishan,743.57,137.38,384.76,210.49,840.42,308.44
54,Donglingshan,814.1,394.18,635.84,319.52,2180.27,433.56
55,Gutianshan,2024.45,190.38,942.8,214.73,2934.52,391.67
56,Tiantongshan,1133.99,412.94,805.39,230.05,3142.16,430.97
57,Zofin,1089.01,247.52,764.86,150.63,1077.01,466.43
58,Speulderbos,1475.92,527.59,820.29,248.18,998.25,308.41
59,Wytham Woods,972.09,250.61,733.23,308.51,963.69,390.84
