Site name,Alternate site name/ abbreviation,State/ Province,Country,Biogeographic zone,GCB#,Latitude,Longitude,Elevation-min,Elevation-max,Topographic relief,Location & Elevation notes,n geographically distinct plots,Area,Plot Dimensions,Plot Area & Dimensions notes,First ForestGEO census year,First census year,Year added to network,Publication(s) describing site/plot,Affiliated web links,Number of Species,Number of Trees,Species & Number of trees notes,Forest Description ,FAO ecozone,Dominant vegetation type(s),Dominant Soil order(s),Soil Notes,Koppen Climate zone,MAT,MAP,Natural disturbance regime,Natural disturbance notes,Past anthropogenic disturbances,Current anthropogenic disturbances,Anthropogenic disturbance notes,PI1,PI2,PI3,PI4
Amacayacu,,Amazonas,Colombia,Neotropic,42,-3.8091,-70.2678,,,,,1,25,500 x 500,,2006,,2006,"Arias Garcia et al., 2009",,1133,123790,,,Tropical rainforest,BE,Ult,Soil classification done by Turner: mainly Paleudults; underlying geology is the Pebas formation,Af,25.8,3215,Fl,infrequent inundation/flooding may have a strong impact on forest dynamics;,,,,Dairon Cˆrdenas_,Alvaro Duque_,,
Badagongshan,,Hunan,China,Palearctic,51,29.46,110.52,1369,1470,101,,1,25,500 x 500,,2011,,2014,"Wang et al., 2014",,238,186000,,Dominants include Fagus lucida and Cyclobalanopsis multinervis,Subtropical humid forest,BE; BdD,In,,Cfa,15.9,1410,Fl,,e,,,Mingxi Jiang,,,
Baishanzu,,Zhejiang,China,Indo-Malay,NA,27.761,119.198,,,,,1,5,,,2008,,2014,,,132,30945,,,,,,,,,,,,,,,Zhengrong Luo,,,
Baotianman,,Henan,China,Palearctic,52,33.4956,111.9397,,,241,,1,25,500 x 500,,2009,,2009,,,126,59569,,,Subtropical mountain system,BcD,,,Cwa,15.1,886,A; D,wild boar-destructive,,,,Xiaojun Du,,,
Barro Colorado Island,BCI,Panamà,Panama,Neotropic,45,9.1543,-79.8461,120,160,40,,1,50,1000 x 500,,1981,1981,1981,"Hubbell, 1979; Condit, 1998; Leigh et al., 2004",,299,208400,,,Tropical moist deciduous forest,BdD; BE,Ox,parent rock beneath the plateau is anandesite flow; soils under most of the plot are well-weathered kaolinitic Oxisols with low cation exchange capacity; Soil classification done by Turner. thereëês been extensive classification work done on BCI in general (Baillie et al. 2007 _ online). ,Am,27.1,2551,D; W,"BCI is outside the hurricane belt, although local windstorms sometimes fell a hectare or more of forest, return time of such windstorms is between one and five thousand years; once every decade or two, an El Ni_o decreases rainfall during the rainy season and the following dry season is unusually severe;","w, f",-,"the 50-ha Plot has been continuously forested for at least 1000 years; In pre-Columbian times, there were two small camps _ both over 600 years old _ on the site of the 50-ha plot, but there is no evidence of agriculture or forest clearing; 2 ha of the 50-ha plot was cleared by settlers for farms during the 19th century; Disconnected from contiguous forest upon creation of Panama Canal (habitat fragmentation)",Richard Condit,Stephen Hubbell_,_Robin Foster_,
Bidoup,,Lam Dong,Vietnam,Indo-Malay,,12.1723,108.186,1516,1597,,,1,25,,,2012,,2017,,,450,200000,,_tropical evergreen broad-leaved forest mixed with conifers,,,,,,,,,,,,,Truong Hong Luu,,,
Bukit Timah,,,Singapore,Indo-Malay,18,1.35,103.78,74,124,50,,2,4,200 x 100,need dimensions of 2nd plot (secondary forest),1993,,1993,"Lum et al., 2004; LaFrankie et al., 2005",,347,11900,Values are for primary 2- ha plot only.,"Mixed dipterocarp forest, including both primary and secondary plots. Primary forest is coastal hill dipterocarp forest. ",Tropical rainforest,BE,Ult,"Fine, kaolinitic, isohyperthermic, Typic Kanhapludult",Af,26.9,2473,A,,"F, CC",,Severely fragmented; core primary forest area ca. 50 ha in good condition; fauna dramatically altered; ,Lee Sing Kong_,Shawn Lum,,
Changbaishan,,Jilin,China,Palearctic,53,42.3833,128.083,792,810,18,,1,25,500 x 500,,2004,,2004,"Wang et al., 2009",,52,36904,,"mixed broad-leaf Korean pine forest; Floristic characteristics of the community belong to Changbaishan flora, including some Tertiary relic species and subtropical species. ",Temperate continental forest,NE; BcD,Alf,"The soil is classified as dark brown forest soil, and the pH values range from 4.13 to 7.13, with a mean of 5.45 (slightly acid). Ben: soils are likely to be Alfisols",Dwb,2.9,700,,,w,-,"logging in the area stopped about 180 years ago; the reserve is well protected, but is still affected NTFP collection; ",Zhanqing Hao_,,,
Cocoli,,Panama,Panama,Neotropic,46,8.9877,-79.6166,,,,,1,4,300 x 100; 100 x 100,,1994,,1994,"Condit et al., 2004",,176,3200,,Mature secondary forest (~80-120 years old).,Tropical moist deciduous forest,BdD; BE,Ox; In,Ben: The soils are on basalt and appear to be Oxisols/Inceptisols.,Am,26.6,1950,D; W,,,,,Richard Condit_,,,
Danum Valley,,Sabah,Malaysia,Indo-Malay,14,5.10189,117.688,,,,,1,50,500 x 1000,,2010,,2010,,,,,In progress.,Mixed dipterocarp forest,Tropical rainforest,BE,UIt_,,Af,26.7,2822,D; A,Occasional severe El Nino driven droughts; recent(?) increase in elephant activity; ,,,,David Burslem,Glen Reynolds,Prof. Andy Hector_,
