Id,Site,Latitude,Longitude,UTM_Zone,UTM_X,UTM_Y,per_land_0_1km,per_land_1_5km,per_land_5_25km,per_land_25_50km,orig_forest_cover_plot,orig_forest_cover_0_1km,orig_forest_cover_1_5km,orig_forest_cover_5_25km,orig_forest_cover_25_50km,tree_cover_plot,tree_cover_0_1km,tree_cover_1_5km,tree_cover_5_25km,tree_cover_25_50km,forest_loss_plot,forest_loss_0_1km,forest_loss_1_5km,forest_loss_5_25km,forest_loss_25_50km,forest_frag_plot,forest_frag_0_1km,forest_frag_1_5km,forest_frag_5_25km,forest_frag_25_50km
1,Korup,5.07389,8.85472,32,483894.67,560834.91,100,100,99.80565238,99.87484029,100,100,100,100,100,72.22330097,71.40237256,73.11130793,71.57458068,65.34359072,0,0.133183259,0.137655083,0.685710668,1.103060715,0,0.16703903,0.187809768,0.536253649,0.770431279
2,Ituri average (Edoro & Lenda),1.4368,28.5826,35,-,-,100,100,99.70732888,99.64100888,100,100,100,100,100,99.9921875,99.91942726,99.93434366,98.55297958,98.5077624,0,0,0.012865303,1.055786721,0.920926277,0,0,0.012976609,0.431018943,0.422865079
2.1,Ituri-Edoro1,1.561447153,28.51521449,35,668563,172648,100,100,99.79079382,99.7452136,100,100,100,100,100,100,99.99359951,99.9864989,99.0169486,99.22788259,0,0,0,0.725926246,0.437070318,0,0,0,0.347416801,0.198022411
2.2,Ituri-Edoro2,1.561413522,28.52414743,35,669557.0001,172645,100,100,99.78520599,99.749704,100,100,100,100,100,100,99.98962782,99.98685336,99.01560558,99.22494287,0,0,0,0.724266974,0.43849701,0,0,0,0.292274122,0.204642484
2.3,Ituri-Lenda1,1.316640397,28.64547984,35,683078.0004,145589,100,100,99.63091274,99.53369521,100,100,100,100,100,100,99.8999695,99.88429066,98.07851323,97.78992147,0,0,0.032653742,1.396804388,1.402342442,0,0,0.038940367,0.509608593,0.71752949
2.4,Ituri-Lenda2,1.307886333,28.64539325,35,683069.0005,144621,100,100,99.62240298,99.53542273,100,100,100,100,100,99.96875,99.7945122,99.8797317,98.10085091,97.78830266,0,0,0.018807468,1.376149275,1.405795338,0,0,0.012966067,0.574776256,0.571265931
3,Rabi,-1.9246,9.88004,32,597875.4122,9787247.824,100,99.99622623,99.93281359,97.35091126,100,100,100,100,100,90.06730769,88.94326241,85.2627527,88.84762302,88.61369931,0,0.164280855,0.861904791,0.672099832,0.663208178,0.155588748,0.283482278,1.165227749,0.487018121,0.522680075
4,Mpala,0.2918,36.8809,37,264146.1264,32274.8907,100,100,100,99.99434732,0,0,0.158524464,28.43691528,18.52987224,NA,NA,1.079365079,1.46417182,10.13423297,NA,NA,0,0.046029892,2.39301732,NA,NA,NA,NA,NA
5,Wanang,-5.25,145.267,55,307935.092,9419435.135,100,100,99.73322819,99.66248597,100,100,100,100,100,63.48325359,81.67051652,86.47397401,89.85261545,89.33273562,8.861107295,6.525003947,3.209826038,2.936342676,2.784331228,15.49719681,5.751640722,3.489434832,2.539785947,2.556114895
6,Kuala Belalong,4.5384,115.154,50,295190.97,501901.22,100,100,99.97742352,99.89561225,100,100,100,100,100,97.7294686,97.83156882,97.20001004,87.29015671,84.65906166,0,0.032127039,0.094851679,5.408775134,4.368544224,0,0.041746356,0.234003741,2.957444266,3.594792504
7,Dinghushan,23.1695,112.511,49,654668.0285,2563086.118,100,99.22131576,94.14793575,95.7839549,100,100,100,100,100,80.50704225,73.7869754,60.87326316,37.01062035,31.57003772,0,0.025882353,8.304921586,8.752174163,12.96307434,0,2.996624499,6.60407902,13.46026157,20.28063838
8,Heishiding,23.27,111.53,49,554207.1143,2573508.247,99.96286669,84.02403935,97.48773847,98.37484937,100,100,100,100,100,56.632287,19.75282234,9.434992129,35.57772326,41.37288966,5.030831704,14.2012827,30.03896843,16.90420347,14.81174286,7.613425307,33.38731079,47.05048473,19.94997256,16.19123834
9,Hong Kong,22.4263,114.182,50,209917.6,2482736.6,100,82.5272209,62.56851605,39.17273371,100,100,100,100,100,85.79020979,80.10747664,43.89777746,34.62299288,18.57634851,0,0.329584476,0.418692881,1.131433276,8.136263163,0,1.025439871,8.098901099,11.86238761,17.58691309
10,Jianfengling,18.7308,108.905,49,279109.9787,2072338.72,100,99.71629678,96.99134372,62.08202222,100,100,100,100,100,86.93968254,88.31802344,80.97891982,44.48666513,34.0654288,0,0.062008724,0.521018057,6.012310141,8.75380688,0,0.095251535,2.190472497,7.701065999,12.84818935
11,Nonggang ,22.4333,106.95,48,700691.1024,2482092.06,100,99.90769842,98.6125676,99.27205743,100,100,100,100,100,65.55555556,65.1103468,72.41985733,40.67460144,38.67040839,0,0.349174877,1.182783276,1.906236508,5.194432953,7.041569542,4.575380978,3.832167832,12.52172827,13.1028971
